task_num,phase,title,description,h1_header,h2_header,entry_banner,closeout_banner,flow_diagrams,workflow_diagrams,agent_selection,agent_execution,audit_task,approval_checklist,human_gate,agents_repo_ref,audits_repo_ref,numbered_menu,custom_option,profile_selection,json_output,md_output,entry_task,closeout_task,setup_task,execution_task
001,0,Mode Selection,Interactive selection between document/guided/quick setup modes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no
002,0,Config Collection,Collect project config via document parsing or guided Q&A,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no
003,0,Config Review,Human reviews and approves extracted configuration,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no
004,0,API Keys,Securely collect provider-specific API credentials,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
005,0,Material Scan,Index existing project files and infer project type,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
006,0,Environment Setup,List required dependencies with install instructions,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
007,0,Repository Setup,Clone and validate agents and audits repositories,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no
008,0,Environment Check,Validate tools and assess system capabilities,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no
009,0,Closeout,Finalize setup and prepare for Phase 1,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
101,1,Entry Validation,Validate Phase 0 completion and load prerequisites,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
102,1,Corpus Collection,Scan and organize project materials into corpus,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no
103,1,Import Requirements,Import existing requirements from external files,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no
104,1,Opening Dialogue,Deep conversational exchange about vision and goals,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
105,1,Agent Selection,Select and assign agents to pipeline phases,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no
106,1,Approach Deliberation,Multi-agent deliberation to propose and debate approaches,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes
107,1,Direction Confirmation,Human gate to confirm approach from deliberation,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes
108,1,Discovery Diagrams,Generate visual diagrams of project structure,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
109,1,Phase Audit,Audit discovery completeness with checklist,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
110,1,Closeout,Finalize phase and prepare for Phase 2,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
201,2,Entry Validation,Validate Phase 1 completion and load artifacts,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
202,2,PRD Setup,Initialize PRD structure and review requirements,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no
203,2,PRD Interview,Conduct interview to fill PRD gaps,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
204,2,Agent Selection,Select PRD agent from roster,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
205,2,PRD Authoring,Write and refine PRD document,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
206,2,PRD Validation,Validate PRD completeness and consistency,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
207,2,Phase Audit,Audit PRD completeness with checklist,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
208,2,PRD Approval,Human approval of PRD before proceeding,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
209,2,Closeout,Finalize PRD and prepare for Phase 3,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
301,3,Entry Initialization,Initialize Phase 3 and validate completion,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
302,3,Agent Selection,Select task decomposition agent,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
303,3,Task Decomposition,Decompose PRD into granular tasks,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
304,3,Dependency Analysis,Analyze task dependencies and critical path,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no
305,3,Phase Audit,Audit task decomposition with checklist,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
306,3,Closeout,Finalize task plan and prepare for Phase 4,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
401,4,Entry Initialization,Initialize Phase 4 and validate completion,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
402,4,Agent Selection,Select specification agent,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
403,4,OpenSpec Generation,Generate API/architecture specification,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
404,4,TDD Subtask Injection,Inject test-first subtasks into breakdown,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no
405,4,Phase Audit,Audit specification with checklist,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
406,4,Closeout,Finalize specification and prepare for Phase 5,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
501,5,Entry Initialization,Initialize Phase 5 and validate completion,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
502,5,TDD Setup,Set up test directory and initial suite,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no
503,5,Agent Selection,Select TDD/implementation agent,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
504,5,TDD Execution,Execute test-driven development,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
505,5,Validation,Validate implementation against specs,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
506,5,Phase Audit,Audit implementation with checklist,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
507,5,Closeout,Finalize implementation and prepare for Phase 6,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
601,6,Entry Initialization,Initialize Phase 6 and validate completion,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
602,6,Agent Selection,Select code review agent,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
603,6,Comprehensive Review,Perform comprehensive code review,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
604,6,Refinement,Refine code based on review findings,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
605,6,Phase Audit,Audit code review with checklist,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
606,6,Closeout,Finalize code review and prepare for Phase 7,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
701,7,Entry Initialization,Initialize Phase 7 and validate completion,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
702,7,Integration Setup,Set up integration test environment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no
703,7,Agent Selection,Select integration agent,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
704,7,Testing Execution,Execute integration tests,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
705,7,Phase Audit,Audit integration with checklist,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no
706,7,Integration Approval,Human approval of integration results,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
707,7,Closeout,Finalize integration and prepare for Phase 8,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
801,8,Entry Initialization,Initialize Phase 8 and validate completion,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
802,8,Deployment Setup,Configure release type and distribution channels,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
803,8,Agent Selection,Select deployment prep agents,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
804,8,Artifact Generation,Generate deployment artifacts,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
805,8,Deployment Approval,Human approval of deployment readiness,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
806,8,Closeout,Finalize deployment prep and prepare for Phase 9,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
901,9,Entry Initialization,Initialize Phase 9 and validate completion,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
902,9,Release Setup,Configure release and preview notes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
903,9,Agent Selection,Select release agents,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no
904,9,Release Execution,Execute internal release,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
905,9,Release Confirmation,Confirm release success,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
906,9,Closeout,Finalize release and complete project,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no
